date,momentum,dual_mom,low_vol,mean_rev,ensemble,csi300
2006-03-31,0.043781073007278744,0.0437810730072787,-0.024813849133503874,0.03305646564616091,0.02395119063180362,0.007671342152496097
2006-04-28,0.17515942494060335,0.1751594249406033,0.07130177184282378,0.07458928368918431,0.12405247635330369,0.0
2006-05-31,0.18276771477091733,0.1827677147709173,0.18683075935125348,0.22437572159550076,0.19418547762214722,0.16471573689359897
2006-06-30,0.07589960137380351,0.0758996013738035,0.005926483265783383,-0.025191144272483215,0.033133635435226794,0.02088101294004696
2006-07-31,-0.05258303766633706,-0.052583037666337,-0.016287924773349952,-0.06394265281329987,-0.04634916322983097,-0.07147607217695162
2006-08-31,0.058309419688301646,0.0583094196883016,0.09837014759628171,0.02125847015116763,0.05906186428101315,0.0342772465711938
2006-09-29,0.04296941105377091,0.0429694110537709,0.04340572673755837,0.012639496878097997,0.03549601143079954,0.0
2006-10-31,-0.008569615107765624,-0.0085696151077656,0.0056574718294493944,0.06314724248366603,0.01291637102439605,0.043618275949303786
2006-11-30,0.20044627643866697,0.2004462764386669,0.16979381898179202,0.022337379731412373,0.14825593789763455,0.1706313465663074
2006-12-29,0.14481121900860172,0.1448112190086017,0.08228042198187038,0.07956681434883979,0.1128674185869784,0.0
2007-01-31,0.13573802467564025,0.1357380246756402,0.2284595624643153,0.24004487805459948,0.18499512246754882,0.1686820538674514
2007-02-28,0.11046552627971866,0.1104655262797186,0.1133641580433188,0.04952979943983649,0.09595625251064814,0.06675624178574502
2007-03-30,0.1411106461914998,0.1411106461914998,0.141253833567988,0.10876895563908133,0.13306102039751722,0.0
2007-04-30,0.29406906499797464,0.2940690649979746,0.2858105556008995,0.2947186150547727,0.2921668251629054,0.2792901965069896
2007-05-31,0.0650571291604547,0.0650571291604547,0.1332973943434506,0.2153628618474249,0.11969362862794622,0.103757570512228
2007-06-29,-0.1182261321932313,-0.1182261321932313,-0.09775715141465238,-0.1530869787558287,-0.1218240986392359,0.0
2007-07-31,0.23512733623174623,0.2351273362317462,0.19204397140988458,0.2026131689775653,0.21622795321273558,0.1850349541109404
2007-08-31,0.22522227552839516,0.2252222755283951,0.12804624599076875,0.09455724893226052,0.16826201149495487,0.1874760680487937
2007-09-28,0.05307734642334786,0.0530773464233478,0.04560151904512926,-0.011223638470069793,0.03513314335543878,0.0
2007-10-31,-0.07571448108599865,-0.0757144810859986,-0.0022211218788003306,-0.057951603720559186,-0.05290042194283919,0.019303639093443792
2007-11-30,-0.22570639992183875,-0.2257063999218387,-0.1254638336924148,-0.11717983455779912,-0.17351411702347283,-0.1672018652227819
2007-12-28,0.12094504359503433,0.1209450435950343,0.2071387035754703,0.07980921274629622,0.1322095008779588,0.0
2008-01-31,-0.06993398768539245,-0.0699339876853924,-0.1139574155889444,-0.0787910331311038,-0.08315410602270826,-0.13447677386421641
2008-02-29,0.0,0.0,0.0,0.0,0.0,0.011719545554595978
2008-03-31,0.0,0.0,0.0,0.0,0.0,-0.189113390593747
2008-04-30,0.0,0.0,0.0,0.0,0.0,0.044476366101837916
2008-05-30,0.0,0.0,0.0,0.0,0.0,0.0
2008-06-30,0.0,0.0,0.0,0.0,0.0,-0.22692775237931728
2008-07-31,0.0,0.0,0.0,0.0,0.0,0.004796514387215067
2008-08-29,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-26,0.0,0.0,0.0,0.0,0.0,0.0
2008-10-31,0.0,0.0,0.0,0.0,0.0,-0.2585051993241392
2008-11-28,0.0,0.0,0.0,0.0,0.0,0.0
2008-12-31,0.0,0.0,0.0,0.0,0.0,-0.006668036486761175
2009-01-23,0.0,0.0,0.0,0.0,0.0,0.0
2009-02-27,0.0,0.0,0.0,0.0,0.0,0.0
2009-03-31,0.0,0.0,0.0,0.0,0.0,0.1715963034614989
2009-04-30,0.035947362091941645,0.0359473620919416,0.03865174559645243,0.027421886155240854,0.03449208898389413,0.0459117573288661
2009-05-27,0.03359877278484488,0.0335987727848448,0.015143589882561918,0.06170986105699794,0.036012749127312386,0.0
2009-06-30,0.1373264640263537,0.1373264640263537,0.10200713107879145,0.06016841055303624,0.10920711742113377,0.14739291636228713
2009-07-31,0.15858459405703296,0.1585845940570329,0.12336422634019875,0.17337291775926614,0.1534765830533827,0.1794260745548517
2009-08-31,-0.28789190191505415,-0.2878919019150541,-0.1034233127248052,-0.14364871345928965,-0.20571395750355076,-0.24215328887367982
2009-09-30,0.07035226820603335,0.0703522682060333,0.04585104895489885,0.01690735610000231,0.05086573536674195,0.06166688631583317
2009-10-30,0.1175404134258456,0.1175404134258456,0.08416636908075056,0.06940766082198173,0.09716371418860588,0.0
2009-11-30,0.13795968836119052,0.1379596883611905,0.1453276446559909,0.15034035995841352,0.14289684533419636,0.07050938125310169
2009-12-31,0.029685921142825828,0.0296859211428258,0.02193411643111641,-0.04264164020773922,0.009666079627257206,0.01822922376795777
2010-01-29,-0.035829722199748525,-0.0358297221997485,-0.015985724051141677,-0.08168241143677368,-0.04233189497185309,0.0
2010-02-26,0.04591945905468068,0.0459194590546806,0.03942501941646395,0.05536078985726027,0.046656181845771375,0.0
2010-03-31,0.0,0.0,0.0,0.0,0.0,0.019484310712912123
2010-04-30,-0.023793864067701745,-0.0237938640677017,-0.010937597718692526,-0.04458685145016294,-0.02577804432606473,-0.08316637309761732
2010-05-31,0.0,0.0,0.0,0.0,0.0,-0.09588066630479242
2010-06-30,0.0,0.0,0.0,0.0,0.0,-0.07579300059424565
2010-07-30,0.0,0.0,0.0,0.0,0.0,0.0
2010-08-31,0.0,0.0,0.0,0.0,0.0,0.011970666951101716
2010-09-30,0.0,0.0,0.0,0.0,0.0,0.011155323044873322
2010-10-29,0.0,0.0,0.0,0.0,0.0,0.0
2010-11-30,0.0,0.0,0.0,0.0,0.0,-0.07189326100160864
2010-12-31,-0.05445989533834608,-0.054459895338346,-0.048601257626273785,0.021871146941783236,-0.03391247534029566,-0.0027810142541325744
2011-01-31,-0.09934294385064975,-0.0993429438506497,-0.04346881732014942,-0.07041709375934262,-0.07814294969519787,-0.016543696322014134
2011-02-28,0.03660118539871161,0.0366011853987116,0.05579078275924586,0.09583366291326272,0.05620670411748295,0.052998724527938856
2011-03-31,-0.018640241883388968,-0.0186402418833889,-0.014516725088658863,-0.022069641012501896,-0.018466712466984656,-0.0050225972115340856
2011-04-29,-0.02379407514243566,-0.0237940751424356,0.008873375102988815,-0.0316818708101176,-0.01759916149800001,0.0
2011-05-31,-0.08003233301826,-0.08003233301826,-0.05259391159259288,-0.04670442985146494,-0.06484075187014446,-0.05987584892269071
2011-06-30,0.0,0.0,0.0,0.0,0.0,0.014170316995584908
2011-07-29,0.0,0.0,0.0,0.0,0.0,0.0
2011-08-31,0.0,0.0,0.0,0.0,0.0,-0.042160050254384296
2011-09-30,0.0,0.0,0.0,0.0,0.0,-0.09323705131699855
2011-10-31,0.0,0.0,0.0,0.0,0.0,0.04414587555121319
2011-11-30,0.0,0.0,0.0,0.0,0.0,-0.0644776272239117
2011-12-30,0.0,0.0,0.0,0.0,0.0,0.0
2012-01-31,0.0,0.0,0.0,0.0,0.0,0.050524738014666504
2012-02-29,0.0,0.0,0.0,0.0,0.0,0.06893874834635949
2012-03-30,0.0,0.0,0.0,0.0,0.0,0.0
2012-04-27,0.0,0.0,0.0,0.0,0.0,0.0
2012-05-31,0.0,0.0,0.0,0.0,0.0,0.002240917051036906
2012-06-29,-0.05443167299685717,-0.0544316729968571,-0.047992089304697706,-0.0850987696115439,-0.060488551227488974,0.0
2012-07-31,-0.054618122638425505,-0.0546181226384255,-0.08838125410172239,-0.07626259564266706,-0.06847002375531011,-0.05227875067232368
