date,base_strategy,enhanced_strategy,csi300,turnover,in_market
2006-03-31,0.043781073007278744,0.043781073007278744,0.007671342152496097,1.0,True
2006-04-28,0.17515942494060335,0.17515942494060335,0.0,0.3333333333333333,True
2006-05-31,0.18276771477091733,0.18276771477091733,0.16471573689359897,0.3333333333333333,True
2006-06-30,0.07589960137380351,0.07589960137380351,0.02088101294004696,0.3333333333333333,True
2006-07-31,-0.05258303766633706,-0.05258303766633706,-0.07147607217695162,0.3333333333333333,True
2006-08-31,0.058309419688301646,0.058309419688301646,0.0342772465711938,0.3333333333333333,True
2006-09-29,0.04296941105377091,0.04296941105377091,0.0,0.3333333333333333,True
2006-10-31,-0.008569615107765624,-0.008569615107765624,0.043618275949303786,0.0,True
2006-11-30,0.20044627643866697,0.20044627643866697,0.1706313465663074,0.3333333333333333,True
2006-12-29,0.14481121900860172,0.14481121900860172,0.0,0.0,True
2007-01-31,0.13573802467564025,0.13573802467564025,0.1686820538674514,0.3333333333333333,True
2007-02-28,0.11046552627971866,0.11046552627971866,0.06675624178574502,1.0,True
2007-03-30,0.1411106461914998,0.1411106461914998,0.0,0.3333333333333333,True
2007-04-30,0.29406906499797464,0.29406906499797464,0.2792901965069896,0.3333333333333333,True
2007-05-31,0.0650571291604547,0.0650571291604547,0.103757570512228,0.6666666666666666,True
2007-06-29,-0.1182261321932313,-0.1182261321932313,0.0,1.0,True
2007-07-31,0.23512733623174623,0.23512733623174623,0.1850349541109404,0.6666666666666666,True
2007-08-31,0.22522227552839516,0.22522227552839516,0.1874760680487937,0.3333333333333333,True
2007-09-28,0.05307734642334786,0.05307734642334786,0.0,0.3333333333333333,True
2007-10-31,-0.07571448108599865,-0.07571448108599865,0.019303639093443792,0.3333333333333333,True
2007-11-30,-0.22570639992183875,-0.22570639992183875,-0.1672018652227819,0.3333333333333333,True
2007-12-28,0.12094504359503433,0.12094504359503433,0.0,0.3333333333333333,True
2008-01-31,-0.06993398768539245,-0.06993398768539245,-0.13447677386421641,1.0,True
2008-02-29,0.07971389817311507,0.0,0.011719545554595978,1.0,False
2008-03-31,-0.20114686708653906,0.0,-0.189113390593747,0.0,False
2008-04-30,-0.006,0.0,0.044476366101837916,0.0,False
2008-05-30,-0.028071186415818735,0.0,0.0,0.0,False
2008-06-30,-0.004,0.0,-0.22692775237931728,0.0,False
2008-07-31,0.0,0.0,0.004796514387215067,0.0,False
2008-08-29,0.0,0.0,0.0,0.0,False
2008-09-26,0.0,0.0,0.0,0.0,False
2008-10-31,0.0,0.0,-0.2585051993241392,0.0,False
2008-11-28,0.0,0.0,0.0,0.0,False
2008-12-31,0.0,0.0,-0.006668036486761175,0.0,False
2009-01-23,0.08080694131385258,0.0,0.0,0.0,False
2009-02-27,0.0728131652563185,0.0,0.0,0.0,False
2009-03-31,0.19123005925844616,0.0,0.1715963034614989,0.0,False
2009-04-30,0.03794736209194165,0.035947362091941645,0.0459117573288661,1.0,True
2009-05-27,0.03359877278484488,0.03359877278484488,0.0,0.6666666666666666,True
2009-06-30,0.1373264640263537,0.1373264640263537,0.14739291636228713,1.0,True
2009-07-31,0.15858459405703296,0.15858459405703296,0.1794260745548517,0.3333333333333333,True
2009-08-31,-0.28789190191505415,-0.28789190191505415,-0.24215328887367982,0.6666666666666666,True
2009-09-30,0.07035226820603335,0.07035226820603335,0.06166688631583317,1.0,True
2009-10-30,0.1175404134258456,0.1175404134258456,0.0,0.0,True
2009-11-30,0.13795968836119052,0.13795968836119052,0.07050938125310169,0.0,True
2009-12-31,0.029685921142825828,0.029685921142825828,0.01822922376795777,0.0,True
2010-01-29,-0.035829722199748525,-0.035829722199748525,0.0,0.0,True
2010-02-26,0.04591945905468068,0.04591945905468068,0.0,0.3333333333333333,True
2010-03-31,0.006747370671215671,0.0,0.019484310712912123,1.0,False
2010-04-30,-0.01979386406770174,-0.023793864067701745,-0.08316637309761732,1.0,True
2010-05-31,-0.038134034642390326,0.0,-0.09588066630479242,1.0,False
2010-06-30,-0.12650397964883298,0.0,-0.07579300059424565,0.0,False
2010-07-30,-0.004,0.0,0.0,0.0,False
2010-08-31,0.11481595530617657,0.0,0.011970666951101716,0.0,False
2010-09-30,0.03594790253714112,0.0,0.011155323044873322,0.0,False
2010-10-29,0.10297043315093919,0.0,0.0,0.0,False
2010-11-30,-0.042704038055957155,0.0,-0.07189326100160864,0.0,False
2010-12-31,-0.05245989533834608,-0.05445989533834608,-0.0027810142541325744,1.0,True
2011-01-31,-0.09934294385064975,-0.09934294385064975,-0.016543696322014134,0.6666666666666666,True
2011-02-28,0.03660118539871161,0.03660118539871161,0.052998724527938856,1.0,True
2011-03-31,-0.018640241883388968,-0.018640241883388968,-0.0050225972115340856,1.0,True
2011-04-29,-0.02379407514243566,-0.02379407514243566,0.0,0.3333333333333333,True
2011-05-31,-0.08003233301826,-0.08003233301826,-0.05987584892269071,0.3333333333333333,True
2011-06-30,0.03040158714039088,0.0,0.014170316995584908,1.0,False
2011-07-29,0.012626264562351205,0.0,0.0,0.0,False
2011-08-31,-0.009500383151842203,0.0,-0.042160050254384296,0.0,False
2011-09-30,-0.13212633048560626,0.0,-0.09323705131699855,0.0,False
2011-10-31,-0.006,0.0,0.04414587555121319,0.0,False
2011-11-30,0.029372374586631445,0.0,-0.0644776272239117,0.0,False
2011-12-30,-0.14314813432526352,0.0,0.0,0.0,False
2012-01-31,-0.002,0.0,0.050524738014666504,0.0,False
2012-02-29,0.0,0.0,0.06893874834635949,0.0,False
2012-03-30,-0.07033638491883099,0.0,0.0,0.0,False
2012-04-27,0.1250985162253584,0.0,0.0,0.0,False
2012-05-31,0.0035769971559796295,0.0,0.002240917051036906,0.0,False
2012-06-29,-0.05043167299685717,-0.05443167299685717,0.0,1.0,True
2012-07-31,-0.054618122638425505,-0.054618122638425505,-0.05227875067232368,0.3333333333333333,True
2012-08-31,-0.04287931207523493,0.0,-0.05488996203044938,1.0,False
2012-09-28,-0.004,0.0,0.0,0.0,False
2012-10-31,-0.02647602353384574,0.0,-0.01669613179678564,0.0,False
2012-11-30,-0.11723697590885418,0.0,-0.05107236941307958,0.0,False
2012-12-31,-0.002,0.0,0.17913632112750588,0.0,False
2013-01-31,0.050009665438961765,0.050009665438961765,0.06497547317586694,1.0,True
2013-02-28,0.03316746436178497,0.03316746436178497,-0.005044881018221092,0.3333333333333333,True
2013-03-29,0.016370766453117636,0.016370766453117636,0.0,0.0,True
2013-04-26,-0.011404862354868742,-0.011404862354868742,0.0,0.0,True
2013-05-31,0.12335010679471647,0.12335010679471647,0.06501843251313888,0.3333333333333333,True
2013-06-28,-0.12089243150064188,-0.12089243150064188,0.0,0.3333333333333333,True
2013-07-31,0.07654450243418098,0.07654450243418098,-0.0034617217998953453,0.3333333333333333,True
2013-08-30,0.022860246703101758,0.0,0.0,1.0,False
2013-09-30,0.08280901054821539,0.0,0.04111093344166372,0.0,False
2013-10-31,-0.06641709234321551,0.0,-0.014661045056593158,0.0,False
2013-11-29,0.03934239944291363,0.0,0.0,0.0,False
2013-12-31,-0.013983873416531213,0.0,-0.044657851922799474,0.0,False
2014-01-30,-0.012997127426588907,0.0,0.0,0.0,False
2014-02-28,0.0030159285292071436,0.0,-0.010660400917160362,0.0,False
2014-03-31,-0.055074202467740384,0.0,-0.014991479923321727,0.0,False
2014-04-30,-0.02146635553589086,0.0,0.005755938694640417,0.0,False
2014-05-30,0.017648271382838386,0.0,0.0,0.0,False
2014-06-30,0.010108025587879344,0.0,0.004013050994591039,0.0,False
2014-07-31,0.06387682841638058,0.0,0.08550711785685605,0.0,False
2014-08-29,-0.013756155442161905,-0.013756155442161905,0.0,1.0,True
2014-09-30,0.12028925157175721,0.12028925157175721,0.048198103996643704,1.0,True
2014-10-31,0.03987850627627335,0.03987850627627335,0.023393423386813827,0.3333333333333333,True
2014-11-28,0.08990997096472982,0.08990997096472982,0.0,0.3333333333333333,True
2014-12-31,0.3310464763261715,0.3310464763261715,0.25807501302148705,0.6666666666666666,True
2015-01-30,-0.0599853556552092,-0.0599853556552092,0.0,0.6666666666666666,True
2015-02-27,0.05506046830035698,0.05506046830035698,0.0,0.6666666666666666,True
2015-03-31,0.16780138869353234,0.16780138869353234,0.1338880549747079,0.3333333333333333,True
2015-04-30,0.18544184333008396,0.18544184333008396,0.1724628036504703,0.6666666666666666,True
2015-05-29,0.14483784431748567,0.14483784431748567,0.0,0.6666666666666666,True
2015-06-30,-0.18601337563045806,-0.18601337563045806,-0.07598512568818283,0.6666666666666666,True
2015-07-31,-0.1871803740540157,-0.1871803740540157,-0.14672463524463897,1.0,True
2015-08-31,-0.13546189532947947,-0.13546189532947947,-0.11794563836446104,1.0,True
2015-09-30,-0.051143715383672045,0.0,-0.04859238101122343,1.0,False
2015-10-30,0.07727222042725461,0.0,0.0,0.0,False
2015-11-30,0.0736918088248532,0.0,0.009148918289602292,0.0,False
2015-12-31,0.02982528641166179,0.0,0.046150865351507475,0.0,False
2016-01-29,-0.2683020124401004,0.0,0.0,0.0,False
2016-02-29,-0.04919641971546003,0.0,-0.02329290686978336,0.0,False
